gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy
,,,,163.22,,,,,,44.275,
,,,,185.35,,,,,,46.665,
,,,,203.52,,,,,,48.134,
,,,,216.92,,,,,,48.512,
,,,,237.97,,,,,,49.072,
,,,,250.68,,,,,,49.087,
,,,,256.2,,,,,,47.917,
,,,,266.35,,,,,,47.224,
,,,,290.13,,,,,,49.16,
,,,,296.9,,,,,,48.579,
,,,,325.32,,,,,,48.392,
,,,,304.6,,,,,,43.063,
,,,,317.78,,,,,,41.742,
,,,,343.64,,,,,,42.665,
,,,,356.0,,,,,,41.896,
,,,,358.95,,,,,,40.41,
,,,,369.66,,,,,,38.52,
,,,,354.16,,,,,,35.223,
,,,,354.75,,,,,,33.339,
,,,,377.12,,,,,,33.759,
,,,,328.37,,,,,,29.722,
,,,,343.72,,,,,,29.783,
,,,,351.92,,,,,,28.723,
,,,,,,,,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,4.119,411.466,4.119,,
,,,,,,391.52,16.126,1975.521,20.245,,
,,,,,,20.702,4.191,2328.437,24.436,,
,,,,,,27.304,6.672,2892.941,31.108,,
,,,,,,2.013,0.626,2880.755,31.734,,
,,,,,,9.829,3.119,3087.972,34.853,,
,,,,,,7.636,2.662,3240.927,37.515,,
