hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy
,,,,50.37,,13.663,
,,,,54.26,,13.661,
,,,,53.32,,12.611,
,,,,53.28,,11.915,
,,,,52.88,,10.904,
,,,,53.76,,10.527,
,,,,60.38,,11.293,
,,,,63.13,,11.193,
,,,,69.8,,11.827,
,,,,73.52,,12.029,
,,,,78.85,,11.729,
,,,,99.42,,14.056,
,,,,115.07,,15.115,
,,,,126.96,,15.763,
,,,,130.61,,15.371,
,,,,122.36,,13.775,
,,,,144.21,,15.027,
,,,,181.03,,18.005,
,,,,188.64,,17.728,
,,,,162.44,,14.541,
,,,,181.36,,16.415,
,,,,185.58,,16.08,
,,,,229.26,,18.712,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,15.862,0.31,,65.957,
,,,25.395,0.5,,84.746,
,,,26.666,0.56,,81.159,
,,,27.821,0.63,,67.021,
,,,23.776,0.56,,62.921,
,,,24.169,0.59,,63.441,
,,,25.154,0.64,,76.19,
,,,28.954,0.75,,78.947,
,,,20.433,0.54,,73.973,
,,,28.482,0.78,,82.979,
,,,26.605,0.75,,79.787,
,,,20.513,0.6,,76.923,
,,,23.304,0.71,,80.682,
,,,27.266,0.86,,77.477,
,,,29.649,0.97,,83.621,
,,,29.627,1.0,,84.746,
,,,29.449,1.02,,84.298,
,,,29.458,1.05,,82.677,
,,,25.35,0.93,,79.487,
,,,22.24,0.84,,78.505,
,,,15.909,0.62,,77.5,
,,,15.462,0.62,,74.699,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,41.119,43.259,13.906,127.918,,5.74
