oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy
,,,,61.5,,,,,,16.682,
,,,,55.14,,,,,,13.883,
,,,,56.15,,,,,,13.28,
,,,,56.01,,,,,,12.526,
,,,,58.33,,,,,,12.028,
,,,,59.39,,,,,,11.63,
,,,,57.89,,,,,,10.827,
,,,,55.75,,,,,,9.885,
,,,,51.76,,,,,,8.77,
,,,,50.67,,,,,,8.291,
,,,,53.18,,,,,,7.911,
,,,,63.17,,,,,,8.931,
,,,,57.65,,,,,,7.573,
,,,,48.93,,,,,,6.075,
,,,,49.9,,,,,,5.872,
,,,,55.85,,,,,,6.287,
,,,,46.1,,,,,,4.804,
,,,,46.75,,,,,,4.65,
,,,,44.03,,,,,,4.138,
,,,,39.81,,,,,,3.564,
,,,,33.48,,,,,,3.03,
,,,,34.62,,,,,,3.0,
,,,,37.33,,,,,,3.047,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,8.187,0.16,,,0.0,0.0,0.0,34.043,
,,,4.571,0.09,,,0.0,0.0,0.0,15.254,
,,,6.19,0.13,,,0.0,0.0,0.0,18.841,
,,,13.689,0.31,,,0.0,0.0,0.0,32.979,
,,,14.011,0.33,,,0.0,0.0,0.0,37.079,
,,,13.928,0.34,,,0.0,0.0,0.0,36.559,
,,,7.861,0.2,,,0.0,0.0,0.0,23.81,
,,,7.721,0.2,,,0.0,0.0,0.0,21.053,
,,,7.19,0.19,,,0.0,0.0,0.0,26.027,
,,,5.843,0.16,,,0.0,0.0,0.0,17.021,
,,,6.74,0.19,,,0.0,0.0,0.0,20.213,
,,,6.154,0.18,,,0.0,0.0,0.0,23.077,
,,,4.595,0.14,,,0.0,0.0,0.0,15.909,
,,,6.975,0.22,,,0.0,0.0,0.0,19.82,
,,,4.891,0.16,,,0.0,0.0,0.0,13.793,
,,,4.444,0.15,,,0.0,0.0,0.0,12.712,
,,,4.331,0.15,,,0.0,0.0,0.0,12.397,
,,,5.05,0.18,,,,,,14.173,
,,,5.452,0.2,,,,,,17.094,
,,,4.766,0.18,,,,,,16.822,
,,,3.079,0.12,,,,,,15.0,
,,,3.242,0.13,,,,,,15.663,
,,,,,,,,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.035,0.241,0.035,,
,,,,,,833.333,0.291,2.245,0.326,,
,,,,,,-53.571,-0.174,1.038,0.151,,
,,,,,,669.231,1.012,7.952,1.163,,
,,,,,,-70.0,-0.814,2.376,0.349,,
,,,,,,96.667,0.337,4.653,0.686,,
,,,,,,133.898,0.919,10.837,1.605,,
,,,,,,105.072,1.686,22.132,3.291,,
,,,,,,-20.495,-0.675,17.495,2.617,,
,,,,,,-33.778,-0.884,11.486,1.733,,
,,,,,,22.819,0.395,13.996,2.128,,
,,,,,,-4.918,-0.105,13.167,2.024,,
,,,,,,-11.494,-0.233,11.511,1.791,,
,,,,,,7.143,0.128,12.182,1.919,,
,,,,,,10.303,0.198,13.272,2.117,,
,,,,,,-4.396,-0.093,12.533,2.024,,
,,,,,,6.897,0.14,13.232,2.163,,
,,,,,,44.624,0.965,18.899,3.128,,
,,,,,,2.23,0.07,19.081,3.198,,
,,,,,,4.364,0.14,19.643,3.338,,
,,,,,,1.045,0.035,19.623,3.373,,
,,,,,,-6.207,-0.209,18.175,3.163,,
,,,,,,-11.765,-0.372,15.835,2.791,,
,,,,,,-7.5,-0.209,14.463,2.582,,
,,,,,,-18.018,-0.465,11.708,2.117,,
,,,,,,0.549,0.012,11.623,2.128,,
,,,,,,-4.918,-0.105,10.911,2.024,,
,,,,,,31.609,0.64,14.178,2.663,,
,,,,,,193.013,5.14,40.99,7.804,,
,,,,,,39.195,3.059,56.193,10.862,,
,,,,,,31.37,3.408,72.827,14.27,,
,,,,,,-3.26,-0.465,69.379,13.805,,
,,,,,,8.677,1.198,74.204,15.003,,
,,,,,,5.271,0.791,76.874,15.794,,
,,,,,,-0.368,-0.058,75.37,15.735,,
,,,,,,-5.026,-0.791,70.436,14.945,,
,,,,,,4.047,0.605,72.114,15.549,,
,,,,,,41.66,6.478,100.516,22.027,,
,,,,,,21.753,4.792,120.263,26.819,,
,,,,,,14.874,3.989,135.39,30.808,,
,,,,,,-8.834,-2.721,120.81,28.086,,
,,,,,,3.478,0.977,122.328,29.063,,
,,,,,,1.601,0.465,121.598,29.529,,
,,,,,,-14.888,-4.396,101.24,25.132,,
,,,,,,-8.468,-2.128,90.622,23.004,,
,,,,,,-5.561,-1.279,83.676,21.725,,
,,,,,,43.308,9.409,117.257,31.134,,
,,,,,,68.061,21.19,192.769,52.323,,
,,,,,,29.34,15.352,243.743,67.675,,
,,,,,,137.137,92.807,564.506,160.482,,
,,,,,,71.367,114.532,944.49,275.015,,
,,,,,,64.27,176.753,1514.298,451.767,,
,,,,,,47.293,213.655,2176.32,665.422,,
,,,,,,43.932,292.332,3055.366,957.754,,
,,342.134,,,1064.354,28.958,277.347,3842.312,1235.101,,47.763
8.276,28.316,370.45,,,1123.739,27.263,336.726,4768.048,1571.827,,49.385
-0.339,-1.256,369.194,,,1091.772,10.008,157.31,5113.37,1729.137,,48.71
5.735,21.172,390.366,,,1125.037,28.164,486.989,6386.891,2216.126,,48.759
1.995,7.788,398.153,,,1118.186,27.172,602.168,7914.986,2818.294,,48.398
9.261,36.874,435.027,,,1190.386,20.627,581.335,9302.572,3399.629,,48.713
9.029,39.278,474.305,,,1264.523,-6.43,-218.599,8480.795,3181.03,,49.761
7.679,36.424,510.73,,,1326.809,0.413,13.144,8298.046,3194.173,,50.68
7.651,39.074,549.804,,,1391.161,4.782,152.748,8468.665,3346.922,,50.372
3.626,19.935,569.739,,,1403.058,-7.809,-261.354,7598.625,3085.567,,49.718
4.903,27.932,597.671,,,1431.352,-8.247,-254.475,6780.135,2831.093,,49.212
9.188,54.914,652.585,,,1519.148,19.286,546.017,7861.546,3377.11,,49.482
6.529,42.61,695.195,,,1573.902,4.854,163.926,8016.802,3541.036,,49.959
5.347,37.171,732.366,,,1611.497,-2.386,-84.49,7605.778,3456.545,,50.679
5.299,38.809,771.175,,,1647.893,9.943,343.678,8120.548,3800.224,,48.98
6.092,46.98,818.155,,,1699.026,-8.098,-307.736,7252.699,3492.487,,48.35
8.23,67.338,885.493,,,1786.508,-20.597,-719.347,5594.892,2773.14,,46.632
4.635,41.039,926.532,,,1814.806,-3.861,-107.079,5222.036,2666.062,,45.785
4.12,38.172,964.704,,,1836.359,1.361,36.29,5144.05,2702.352,,46.296
1.797,17.332,982.036,,,1817.969,6.788,183.428,5342.224,2885.779,,45.713
2.575,25.288,1007.324,61.721,34.296,1812.865,3.97,114.552,5399.649,3000.331,13.242,45.06
-2.27,-22.868,984.456,65.047,37.184,1722.141,-0.287,-8.62,5233.497,2991.711,13.766,43.154
5.496,54.104,1038.56,65.779,38.684,1766.018,0.198,5.926,5097.329,2997.637,13.803,44.104
4.163,43.231,1081.791,70.491,42.613,1789.53,4.248,127.326,5169.403,3124.964,14.431,42.919
3.306,35.764,1117.556,69.768,43.338,1799.12,10.37,324.068,5552.495,3449.032,14.133,44.27
1.627,18.184,1135.74,67.304,42.951,1779.717,7.171,247.34,5792.256,3696.372,13.474,43.552
0.522,5.932,1141.671,64.162,42.028,1742.901,3.739,138.225,5853.981,3834.597,12.938,43.828
1.951,22.269,1163.94,63.363,42.576,1732.229,1.896,72.7,5815.021,3907.298,12.986,44.02
1.026,11.945,1175.885,60.593,41.757,1706.307,-1.304,-50.938,5595.899,3856.36,12.315,44.35
