renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy
,,,,72.9,,19.775,
,,,,76.68,,19.306,
,,,,75.99,,17.972,
,,,,75.71,,16.932,
,,,,77.02,,15.882,
,,,,78.22,,15.317,
,,,,85.32,,15.958,
,,,,89.87,,15.934,
,,,,98.61,,16.708,
,,,,103.33,,16.907,
,,,,111.32,,16.559,
,,,,133.83,,18.92,
,,,,151.51,,19.901,
,,,,164.78,,20.458,
,,,,171.24,,20.152,
,,,,166.99,,18.799,
,,,,194.52,,20.27,
,,,,237.63,,23.634,
,,,,252.7,,23.749,
,,,,236.83,,21.2,
,,,,262.71,,23.779,
,,,,289.59,,25.093,
,,,,348.79,,28.468,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,15.862,0.31,,65.957,
,,,25.395,0.5,,84.746,
,,,26.666,0.56,,81.159,
,,,27.821,0.63,,67.021,
,,,23.776,0.56,,62.921,
,,,24.169,0.59,,63.441,
,,,25.154,0.64,,76.19,
,,,28.954,0.75,,78.947,
,,,20.433,0.54,,73.973,
,,,28.482,0.78,,82.979,
,,,26.605,0.75,,79.787,
,,,20.513,0.6,,76.923,
,,,24.289,0.74,,84.091,
,,,28.217,0.89,,80.18,
,,,30.566,1.0,,86.207,
,,,30.515,1.03,,87.288,
,,,30.604,1.06,,87.603,
,,,30.581,1.09,,85.827,
,,,26.44,0.97,,82.906,
,,,23.564,0.89,,83.178,
,,,17.448,0.68,,85.0,
,,,17.457,0.7,,84.337,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,41.119,,,127.918,,5.74
11.538,4.744,45.863,,,139.123,,6.114
4.388,2.013,47.876,,,141.577,,6.317
16.971,8.125,56.0,,,161.394,,6.995
16.699,9.352,65.352,,,183.537,,7.944
25.02,16.351,81.703,,,223.568,,9.149
-5.259,-4.258,77.445,69.79,26.177,206.472,,8.125
13.832,10.707,88.152,77.412,29.798,229.007,,8.747
5.764,5.08,93.232,79.744,31.516,235.902,,8.542
13.728,12.794,106.026,88.266,35.842,261.103,,9.252
5.714,6.055,112.081,90.742,37.89,268.42,,9.229
10.801,12.105,124.186,97.731,41.983,289.091,,9.416
9.85,12.228,136.414,104.409,46.118,308.838,,9.803
0.833,1.137,137.552,102.323,46.502,302.668,,9.518
7.02,9.654,147.205,106.343,49.766,314.558,,9.35
-2.507,-3.687,143.518,100.757,48.519,298.038,,8.481
3.9,5.598,149.116,101.705,50.411,300.845,,7.853
0.062,0.097,149.213,98.802,50.442,292.264,,7.373
-9.843,-14.683,134.53,86.568,45.477,256.083,,6.456
-1.656,-2.226,132.303,82.794,44.724,244.923,,6.159
11.168,14.778,147.081,89.478,49.719,264.699,19.197,6.579
4.195,6.129,153.209,90.623,51.804,268.014,19.179,6.716
-4.034,-6.177,147.033,84.537,49.714,250.021,17.739,6.244
9.062,13.326,160.359,89.691,54.219,265.27,18.361,6.362
4.931,7.904,168.263,91.591,56.893,270.882,18.553,6.665
2.052,3.495,171.758,90.981,58.06,269.147,18.214,6.586
5.878,10.106,181.864,93.846,61.473,277.637,18.924,6.982
-4.488,-8.142,173.722,87.381,58.714,258.541,17.908,6.57
-1.84,-3.172,170.55,83.632,57.634,247.482,16.997,6.432
1.413,2.388,172.937,82.73,58.448,244.784,16.636,6.31
4.03,6.962,179.899,83.944,60.804,248.366,16.764,6.309
4.585,8.299,188.198,85.614,63.591,253.375,16.64,6.436
2.618,4.962,193.16,85.725,65.256,253.749,16.277,6.468
4.797,9.317,202.477,87.686,68.387,259.616,16.825,6.677
5.889,11.909,214.386,90.619,72.414,268.285,17.299,6.86
7.379,15.931,230.317,94.487,77.38,281.234,18.4,7.207
7.624,15.961,246.278,100.457,84.33,293.375,19.286,7.441
5.538,11.06,257.338,100.452,86.45,299.018,18.698,7.675
-2.222,-7.457,249.881,96.424,85.08,283.2,17.535,7.109
6.181,13.679,263.56,100.09,90.56,291.297,17.575,6.983
1.19,2.59,266.151,100.604,93.35,286.832,17.427,7.031
4.393,10.183,276.333,101.32,96.43,290.345,17.285,7.161
3.524,6.462,282.796,101.089,98.71,289.613,16.923,7.06
2.028,4.36,287.156,100.531,100.73,286.588,16.993,6.764
2.859,6.91,294.066,101.848,104.72,286.0,17.585,6.812
8.552,23.453,317.519,110.667,116.78,300.899,17.611,7.134
3.524,8.791,326.31,109.155,118.18,301.392,17.645,7.273
1.06,1.364,327.673,106.761,118.59,294.989,17.054,7.023
6.305,18.681,346.355,110.088,125.52,303.772,17.606,7.222
8.052,25.542,371.897,116.099,135.87,317.779,18.39,7.547
2.509,6.689,378.586,116.526,139.96,315.197,18.389,7.497
0.366,-0.616,377.97,115.728,142.59,306.766,18.542,7.294
9.212,32.571,410.541,120.412,152.12,324.966,19.036,7.723
7.799,28.83,439.371,128.398,166.31,339.213,20.406,8.086
7.107,29.933,469.304,133.283,176.96,353.471,21.384,8.441
7.372,32.693,501.998,134.492,183.0,368.932,22.662,9.531
5.768,26.697,528.695,137.851,192.12,379.353,22.89,9.42
3.137,14.64,543.335,145.426,207.484,380.824,23.241,9.656
,,41.119,,,,,5.74
11.538,4.744,45.863,,,,,6.114
4.388,2.013,47.876,,,,,6.317
16.971,8.125,56.0,,,,,6.995
16.699,9.352,65.352,,,,,7.944
